"","Overall"
"n","11399"
"sex",""
"   1","5725"
"   2","5671"
"   NA","3"
"edu_m_0",""
"   1","1457"
"   2","6963"
"   3","1714"
"   NA","1265"
"agebirth_m_y (mean (SD))","29.27 (4.63)"
"prepreg_weight (mean (SD))","60.87 (12.42)"
"height_m (mean (SD))","164.11 (6.71)"
"parity_m",""
"   0","4635"
"   1","5623"
"   NA","1141"
"preg_smk",""
"   0","7026"
"   1","2444"
"   NA","1929"
"ethn3_m",""
"   1","9873"
"   2","165"
"   NA","1361"
"preg_dia",""
"   0","10035"
"   1","49"
"   NA","1315"
"preeclam",""
"   0","10466"
"   1","211"
"   NA","722"
