"","Overall"
"n","11399"
"edu_m_0",""
"   1","1457"
"   2","6963"
"   3","1714"
"   NA","1265"
"edu_f1_0",""
"   1","1950"
"   2","5585"
"   3","2261"
"   NA","1603"
"preg_dia",""
"   0","10035"
"   1","49"
"   NA","1315"
"ga_bj (mean (SD))","279.72 (13.03)"
"edu_par_0",""
"   1","2370"
"   2","6426"
"   3","985"
"   NA","1618"
"ga_norm_pre37",""
"   0","10275"
"   1","449"
"   NA","675"
"ga_norm_pre34",""
"   0","10588"
"   1","136"
"   NA","675"
"ga_norm_post42",""
"   0","9882"
"   1","842"
"   NA","675"
