exposure,age,k,n,est_main,est_ethnicity
area_dep,bmi_24,5,23965,"-0.1 (-0.15,-0.05)","-0.1 (-0.14,-0.05)"
area_dep,bmi_48,5,16696,"0.05 (0,0.1)","0.05 (0,0.1)"
area_dep,bmi_96,5,24088,"0.08 (0.03,0.13)","0.08 (0.03,0.13)"
area_dep,bmi_168,5,21063,"0.13 (0.08,0.18)","0.13 (0.08,0.18)"
area_dep,bmi_215,1,6347,"0.1 (0.04,0.17)","0.1 (0.04,0.17)"
area_dep,bmi_24,5,23965,"-0.19 (-0.23,-0.15)","-0.12 (-0.17,-0.08)"
area_dep,bmi_48,5,16696,"0.03 (-0.01,0.07)","0.05 (0,0.1)"
area_dep,bmi_96,5,24088,"0.12 (0.08,0.16)","0.12 (0.08,0.16)"
area_dep,bmi_168,5,21063,"0.1 (0.05,0.14)","0.07 (0.02,0.11)"
area_dep,bmi_215,1,6347,"0.17 (0.1,0.23)","0.16 (0.1,0.23)"
edu_m,bmi_24,8,45601,"0.02 (0,0.04)","0.03 (0.01,0.05)"
edu_m,bmi_48,8,30752,"0.09 (0.06,0.12)","0.08 (0.06,0.11)"
edu_m,bmi_96,8,39718,"0.15 (0.12,0.17)","0.15 (0.12,0.17)"
edu_m,bmi_168,8,30214,"0.32 (0.29,0.35)","0.32 (0.29,0.35)"
edu_m,bmi_215,2,8717,"0.06 (0,0.12)","0.06 (0,0.12)"
edu_m,bmi_24,8,45601,"-0.19 (-0.22,-0.17)","-0.15 (-0.17,-0.12)"
edu_m,bmi_48,8,30752,"0.24 (0.21,0.27)","0.21 (0.17,0.24)"
edu_m,bmi_96,8,39718,"0.31 (0.28,0.33)","0.29 (0.26,0.31)"
edu_m,bmi_168,8,30214,"0.38 (0.34,0.41)","0.36 (0.32,0.39)"
edu_m,bmi_215,2,8717,"0.29 (0.21,0.36)","0.29 (0.21,0.36)"
ndvi300_preg_iqr_c,bmi_24,5,23248,"-0.01 (-0.02,0.01)","-0.01 (-0.03,0)"
ndvi300_preg_iqr_c,bmi_48,5,16267,"0.05 (0.03,0.07)","0.05 (0.03,0.07)"
ndvi300_preg_iqr_c,bmi_96,5,23403,"0.03 (0.01,0.05)","0.03 (0.01,0.05)"
ndvi300_preg_iqr_c,bmi_168,5,20466,"-0.02 (-0.05,0)","-0.02 (-0.05,0)"
ndvi300_preg_iqr_c,bmi_215,1,6189,"0.03 (-0.01,0.08)","0.03 (-0.01,0.08)"
preg_dia,bmi_24,8,35661,"-0.04 (-0.1,0.01)","-0.03 (-0.09,0.02)"
preg_dia,bmi_48,8,24635,"-0.09 (-0.16,-0.03)","-0.1 (-0.17,-0.04)"
preg_dia,bmi_96,8,30755,"-0.08 (-0.14,-0.02)","-0.09 (-0.16,-0.03)"
preg_dia,bmi_168,8,23205,"0.06 (-0.04,0.16)","0.05 (-0.05,0.14)"
preg_dia,bmi_215,2,6965,"0.18 (-0.11,0.47)","0.18 (-0.11,0.47)"
