"","bmi_0_24.var","bmi_0_24.est","bmi_25_48.var","bmi_25_48.est","bmi_49_96.var","bmi_49_96.est","bmi_97_168.var","bmi_97_168.est"
"1","(Intercept)","15.54 (14.47, 16.61)","(Intercept)","17.49 (17.3, 17.69)","(Intercept)","13.75 (12.11, 15.39)","(Intercept)","11.39 (10.03, 12.75)"
"2","edu_m_.02","0.05 (-0.06, 0.17)","edu_m_.02","0.06 (-0.01, 0.12)","edu_m_.02","0.32 (0.13, 0.51)","edu_m_.02","0.86 (0.52, 1.2)"
"3","edu_m_.03","0.01 (-0.19, 0.2)","edu_m_.03","0.32 (0.2, 0.44)","edu_m_.03","0.75 (0.33, 1.18)","edu_m_.03","1.5 (0.41, 2.58)"
"4","sex2","-0.4 (-0.61, -0.19)","sex2","-0.21 (-0.27, -0.15)","sex2","-0.05 (-0.13, 0.04)","sex2","0.22 (0.08, 0.35)"
"5","age_months.24","0.09 (0.03, 0.15)","age_months.48","-0.04 (-0.04, -0.03)","age_months.96","0.03 (0, 0.05)","age_months.168","0.05 (0.03, 0.06)"

"","bmi_0_24.var","bmi_0_24.est","bmi_25_48.var","bmi_25_48.est","bmi_48_96.var","bmi_48_96.est","bmi_97_168.var","bmi_97_168.est"
"1","(Intercept)","10.13 (4.52, 15.75)","(Intercept)","14.35 (13.44, 15.25)","(Intercept)","10.59 (8.65, 12.52)","(Intercept)","7.18 (4.78, 9.59)"
"2","ga_bj","0.02 (0, 0.03)","ga_bj","0.01 (0, 0.01)","ga_bj","0.01 (0, 0.01)","ga_bj","0 (-0.01, 0.01)"
"3","edu_m_.02","0.07 (-0.05, 0.18)","edu_m_.02","-0.06 (-0.17, 0.06)","edu_m_.02","0.15 (0.06, 0.24)","edu_m_.02","0.5 (0.34, 0.66)"
"4","edu_m_.03","-0.09 (-0.32, 0.14)","edu_m_.03","0.1 (-0.04, 0.24)","edu_m_.03","0.57 (0.41, 0.74)","edu_m_.03","0.96 (0.07, 1.86)"
"5","prepreg_bmi","0.03 (0.01, 0.04)","prepreg_bmi","0.06 (0.05, 0.07)","prepreg_bmi","0.1 (0.08, 0.13)","prepreg_bmi","0.22 (0.2, 0.24)"
"6","preg_smk1","-0.14 (-0.29, 0.01)","preg_smk1","0.09 (0, 0.18)","preg_smk1","0.14 (0.03, 0.24)","preg_smk1","0.28 (0.1, 0.45)"
"7","preg_dia1","0.17 (-0.09, 0.42)","preg_dia1","-0.11 (-0.29, 0.08)","preg_dia1","-0.03 (-0.26, 0.19)","preg_dia1","0.53 (-0.03, 1.08)"
"8","preg_ht1","-0.38 (-0.65, -0.11)","preg_ht1","-0.13 (-0.3, 0.04)","preg_ht1","-0.17 (-0.37, 0.03)","preg_ht1","-0.18 (-0.53, 0.17)"
"9","agebirth_m_y","-0.02 (-0.03, 0)","agebirth_m_y","-0.01 (-0.02, 0)","agebirth_m_y","-0.02 (-0.03, -0.01)","agebirth_m_y","-0.03 (-0.05, -0.01)"
"10","parity_bin1","0.4 (0.21, 0.59)","parity_bin1","0.14 (0.05, 0.23)","parity_bin1","0.02 (-0.07, 0.11)","parity_bin1","-0.04 (-0.2, 0.12)"
"11","sex2","-0.4 (-0.62, -0.18)","sex2","-0.19 (-0.25, -0.12)","sex2","-0.05 (-0.13, 0.03)","sex2","0.2 (0.06, 0.34)"
"12","age_months.24","0.08 (0.06, 0.1)","age_months.48","-0.04 (-0.04, -0.03)","age_months.96","0.03 (0.01, 0.05)","age_months.168","0.05 (0.04, 0.06)"

"","bmi_0_24.var","bmi_0_24.est","bmi_25_48.var","bmi_25_48.est","bmi_48_96.var","bmi_48_96.est","bmi_97_168.var","bmi_97_168.est"
"1","(Intercept)","15.21 (14.3, 16.13)","(Intercept)","16.28 (15.88, 16.68)","(Intercept)","12.21 (10.5, 13.91)","(Intercept)","6.82 (5.18, 8.46)"
"2","preg_dia1","0.13 (-0.12, 0.39)","preg_dia1","-0.11 (-0.29, 0.08)","preg_dia1","-0.02 (-0.24, 0.2)","preg_dia1","0.54 (0, 1.07)"
"3","edu_m_.02","0.04 (-0.08, 0.15)","edu_m_.02","-0.06 (-0.18, 0.05)","edu_m_.02","0.14 (0.05, 0.23)","edu_m_.02","0.51 (0.35, 0.67)"
"4","edu_m_.03","-0.15 (-0.38, 0.09)","edu_m_.03","0.1 (-0.04, 0.23)","edu_m_.03","0.55 (0.38, 0.71)","edu_m_.03","1.01 (0.11, 1.91)"
"5","agebirth_m_y","-0.02 (-0.03, 0)","agebirth_m_y","-0.01 (-0.02, 0)","agebirth_m_y","-0.02 (-0.03, -0.01)","agebirth_m_y","-0.03 (-0.05, -0.01)"
"6","prepreg_bmi","0.02 (0.01, 0.04)","prepreg_bmi","0.06 (0.05, 0.07)","prepreg_bmi","0.1 (0.08, 0.12)","prepreg_bmi","0.22 (0.2, 0.23)"
"7","parity_bin1","0.42 (0.18, 0.65)","parity_bin1","0.14 (0.07, 0.22)","parity_bin1","0.04 (-0.05, 0.12)","parity_bin1","-0.04 (-0.2, 0.12)"
"8","preg_smk1","-0.13 (-0.29, 0.02)","preg_smk1","0.08 (-0.01, 0.17)","preg_smk1","0.13 (0.03, 0.24)","preg_smk1","0.28 (0.1, 0.45)"
"9","age_months.24","0.09 (0.05, 0.13)","age_months.48","-0.04 (-0.04, -0.03)","age_months.96","0.03 (0.01, 0.04)","age_months.168","0.05 (0.04, 0.06)"
