variable,value,missing,cohort_n,category,sample
agebirth_m_y,"29.8 (26.6,33)",1944 (0.8),258568,NA,analysis
area_dep,15055 (5.8),199758 (77.3),258568,1,analysis
area_dep,13912 (5.4),199758 (77.3),258568,2,analysis
area_dep,29843 (11.5),199758 (77.3),258568,3,analysis
zscores.0_730,"-0.1 (-0.8,0.5)",38511 (14.9),258568,NA,analysis
zscores.730_1461,"0.4 (-0.3,1.1)",162789 (63),258568,NA,analysis
zscores.1461_2922,"0.1 (-0.5,0.8)",97235 (37.6),258568,NA,analysis
zscores.2922_5113,"0.1 (-0.6,0.8)",128976 (49.9),258568,NA,analysis
zscores.5113_6544,"0.1 (-0.6,0.8)",229955 (88.9),258568,NA,analysis
edu_m,122592 (47.4),17782 (6.9),258568,1,analysis
edu_m,73389 (28.4),17782 (6.9),258568,2,analysis
edu_m,44805 (17.3),17782 (6.9),258568,3,analysis
ethn3_m_f,41538 (65),5976 (9.4),63871,0,analysis
ethn3_m_f,16357 (25.6),5976 (9.4),63871,1,analysis
ga_all,"280.7 (273.1,286.8)",11088 (4.3),258568,NA,analysis
height_m,"166.9 (162.8,171.2)",9725 (3.8),258568,NA,analysis
ndvi300_preg,"0.4 (0.3,0.5)",198412 (76.7),258568,NA,analysis
parity_bin,138908 (53.7),2483 (1),258568,1,analysis
parity_bin,0 (0),2483 (1),258568,2,analysis
parity_bin,0 (0),2483 (1),258568,3,analysis
parity_bin,117177 (45.3),2483 (1),258568,0,analysis
parity_bin,0 (0),2483 (1),258568,4,analysis
preg_dia,4482 (1.7),18876 (7.3),258568,1,analysis
preg_dia,235210 (91),18876 (7.3),258568,0,analysis
preg_ht,17306 (6.7),35673 (13.8),258568,1,analysis
preg_ht,205589 (79.5),35673 (13.8),258568,0,analysis
preg_smk,56800 (22),6622 (2.6),258568,1,analysis
preg_smk,195146 (75.5),6622 (2.6),258568,0,analysis
prepreg_bmi_u_f,10918 (4.2),22107 (8.5),258568,1,analysis
prepreg_bmi_u_f,225543 (87.2),22107 (8.5),258568,0,analysis
prepreg_bmi_o_f,66471 (25.7),22107 (8.5),258568,1,analysis
prepreg_bmi_o_f,169990 (65.7),22107 (8.5),258568,0,analysis
sex,131983 (51),0 (0),258568,1,analysis
sex,126585 (49),0 (0),258568,2,analysis
agebirth_m_y,"29 (25.4,32.7)",6644 (10.7),62220,NA,excluded
area_dep,2933 (4.7),51592 (82.9),62220,1,excluded
area_dep,2589 (4.2),51592 (82.9),62220,2,excluded
area_dep,5106 (8.2),51592 (82.9),62220,3,excluded
area_dep,0 (0),51592 (82.9),62220,"NA",excluded
zscores.0_730,"-0.1 (-0.8,0.5)",60331 (97),62220,NA,excluded
zscores.730_1461,"0.4 (-0.2,1)",61166 (98.3),62220,NA,excluded
zscores.1461_2922,"0.2 (-0.4,0.9)",60741 (97.6),62220,NA,excluded
zscores.2922_5113,"0.3 (-0.4,1)",60813 (97.7),62220,NA,excluded
zscores.5113_6544,"0 (-0.6,0.7)",60962 (98),62220,NA,excluded
edu_m,18578 (29.9),16690 (26.8),62220,1,excluded
edu_m,14580 (23.4),16690 (26.8),62220,2,excluded
edu_m,12372 (19.9),16690 (26.8),62220,3,excluded
edu_m,0 (0),16690 (26.8),62220,"NA",excluded
ethn3_m_f,4460 (31.1),7616 (53.1),14345,0,excluded
ethn3_m_f,2269 (15.8),7616 (53.1),14345,1,excluded
ga_all,"279.4 (271,286.2)",10870 (17.5),62220,NA,excluded
height_m,"166.5 (162.8,171)",12940 (20.8),62220,NA,excluded
ndvi300_preg,"0.4 (0.3,0.5)",51335 (82.5),62220,NA,excluded
parity_bin,30428 (48.9),9349 (15),62220,1,excluded
parity_bin,0 (0),9349 (15),62220,2,excluded
parity_bin,0 (0),9349 (15),62220,3,excluded
parity_bin,0 (0),9349 (15),62220,"NA",excluded
parity_bin,22443 (36.1),9349 (15),62220,0,excluded
parity_bin,0 (0),9349 (15),62220,4,excluded
preg_dia,433 (0.7),17369 (28),62091,1,excluded
preg_dia,44289 (71.3),17369 (28),62091,0,excluded
preg_ht,3646 (5.9),27614 (44.5),62018,1,excluded
preg_ht,30758 (49.6),27614 (44.5),62018,0,excluded
preg_smk,15188 (24.4),10484 (16.8),62220,1,excluded
preg_smk,36548 (58.7),10484 (16.8),62220,0,excluded
prepreg_bmi_u_f,2506 (4),15069 (24.2),62220,1,excluded
prepreg_bmi_u_f,44645 (71.8),15069 (24.2),62220,0,excluded
prepreg_bmi_o_f,13601 (21.9),15069 (24.2),62220,1,excluded
prepreg_bmi_o_f,33550 (53.9),15069 (24.2),62220,0,excluded
sex,22369 (36),19355 (31.1),62211,1,excluded
sex,20487 (32.9),19355 (31.1),62211,2,excluded
